Time,Net_Worth
2026-02-10 20:36:07,5002.4194168799995
2026-02-10 20:37:09,5002.559116879999
2026-02-10 20:38:10,5002.44691688
2026-02-10 20:39:13,5001.918916879999
2026-02-10 20:40:52,5002.103523379999
2026-02-10 20:41:53,5001.899116879999
2026-02-10 20:42:53,5002.47221688
2026-02-10 20:43:54,5002.1829168799995
2026-02-10 20:44:54,5003.06401688
2026-02-10 20:45:54,5003.26816034
2026-02-10 20:46:54,5003.93521688
2026-02-10 20:47:54,5004.227816879999
2026-02-10 20:48:55,5003.61891925
2026-02-10 20:49:55,5002.443616879999
2026-02-10 20:50:55,5001.65931688
2026-02-10 20:51:56,5001.93541688
2026-02-10 20:52:56,5001.9359045
2026-02-10 20:53:57,5002.07137927
2026-02-10 20:54:57,5004.17245585
2026-02-10 20:55:57,5001.87122071
2026-02-10 20:56:57,5003.404779269999
2026-02-10 20:57:58,5004.02427927
2026-02-10 20:58:58,5004.470407989999
2026-02-10 20:59:58,5005.769118769999
2026-02-10 21:00:58,5006.78367293
2026-02-10 21:01:59,5002.43505656
2026-02-10 21:02:59,5004.419579269999
2026-02-10 21:03:59,5002.01237927
2026-02-10 21:04:59,4997.09177928
2026-02-10 21:06:00,4998.05590555
2026-02-10 21:07:00,5002.336879269999
2026-02-10 21:08:00,5003.82957927
2026-02-10 21:09:01,5005.28912812
2026-02-10 21:10:01,5009.97387027
2026-02-10 21:11:01,5013.53598351
2026-02-10 21:12:02,5011.363879269999
2026-02-10 21:13:02,5010.01161958
2026-02-10 21:14:02,5009.061268529999
2026-02-10 21:15:02,5012.14629944
2026-02-10 21:16:02,5015.2209850399995
2026-02-10 21:17:03,5033.636379269999
2026-02-10 21:18:03,5030.64507927
2026-02-10 21:19:03,5037.176379269999
2026-02-10 21:20:04,5032.86275995
2026-02-10 21:21:04,5029.122879269999
2026-02-10 21:22:04,5030.28021879
2026-02-10 21:23:04,5030.14845426
2026-02-10 21:24:05,5024.5417858
2026-02-10 21:25:05,5023.19337927
2026-02-10 21:26:05,5023.45887927
2026-02-10 21:27:05,5017.5758802499995
2026-02-10 21:28:06,5017.2302930999995
2026-02-10 21:29:06,5019.55307927
2026-02-10 21:30:06,5017.48807927
2026-02-10 21:31:06,5030.038744179999
2026-02-10 21:32:06,5018.1606792699995
2026-02-10 21:33:07,5014.8538725
2026-02-10 21:34:07,5006.77367927
2026-02-10 21:35:07,5011.161793589999
2026-02-10 21:36:07,5014.01887927
2026-02-10 21:37:08,5000.3544792699995
2026-02-10 21:38:08,4980.73714389
2026-02-10 21:39:08,4969.31457928
2026-02-10 21:40:08,4979.55107928
2026-02-10 21:41:08,4956.47027928
2026-02-10 21:42:09,4944.6522543599995
2026-02-10 21:43:09,4952.91710903
2026-02-10 21:44:09,4953.61998934
2026-02-10 21:45:10,4959.255430509999
2026-02-10 21:46:10,4953.049905129999
2026-02-10 21:47:10,4952.071467719999
2026-02-10 21:48:10,4948.939205129999
2026-02-10 21:49:10,4948.276905129999
2026-02-10 21:50:11,4948.743727829999
2026-02-10 21:51:11,4954.46899992
2026-02-10 21:52:11,4955.66179948
2026-02-10 21:53:12,4962.640305129999
2026-02-10 21:54:12,4958.87853122
2026-02-10 21:55:12,4961.76421082
2026-02-10 21:56:12,4967.328205129999
2026-02-10 21:57:13,4966.36250513
2026-02-10 21:58:13,4965.00460513
2026-02-10 21:59:13,4967.29902537
2026-02-10 22:00:14,4962.09475907
2026-02-10 22:01:14,4961.93402537
2026-02-10 22:02:14,4969.554029
2026-02-10 22:03:14,4965.4890253700005
2026-02-10 22:04:15,4973.28419838
2026-02-10 22:31:35,5013.7110067
2026-02-10 22:32:36,5009.66570804
2026-02-10 22:33:36,5015.02290804
2026-02-10 22:34:36,5009.46640027
2026-02-10 22:35:37,5012.58030804
2026-02-10 22:36:37,5011.03228485
2026-02-10 22:37:37,5016.116742390001
2026-02-10 22:38:37,5012.83990804
2026-02-10 22:39:37,5012.5777460300005
2026-02-10 22:40:38,5018.46850804
2026-02-10 22:41:38,5017.97962891
2026-02-10 22:45:39,4999.706508040001
2026-02-10 22:46:39,5003.89573998
2026-02-10 22:47:40,5007.38240804
2026-02-10 22:48:40,5013.25075326
2026-02-10 22:49:40,5016.46840804
2026-02-10 22:50:40,5004.70970804
2026-02-10 22:51:41,5010.72513321
2026-02-10 22:52:41,5002.04844571
2026-02-10 22:53:41,5012.5254294900005
2026-02-10 22:54:41,5010.916508040001
2026-02-10 22:58:51,5009.397374550001
2026-02-10 22:59:51,5006.61540804
2026-02-10 23:00:52,5008.2708226
2026-02-10 23:01:52,5002.76676283
2026-02-10 23:02:52,5006.6991107
2026-02-10 23:03:52,5000.25215611
2026-02-10 23:04:53,4995.36105611
2026-02-10 23:05:53,4997.0341732
2026-02-10 23:06:53,4990.78265611
2026-02-10 23:07:53,4993.80935611
2026-02-10 23:08:54,5001.45575611
2026-02-10 23:09:54,4994.11025611
2026-02-10 23:10:54,4998.91285611
2026-02-10 23:11:54,5007.96118483
2026-02-10 23:12:55,5010.98425611
2026-02-10 23:13:55,5014.45935611
2026-02-10 23:14:55,5031.4159561100005
2026-02-10 23:15:55,5028.67807608
2026-02-10 23:16:55,5030.98916379
2026-02-10 23:17:56,5026.97325611
2026-02-10 23:18:56,5025.26016118
2026-02-10 23:19:56,5021.05164843
2026-02-10 23:20:56,5015.82815611
2026-02-10 23:21:56,5019.08535372
2026-02-10 23:22:57,5010.51815611
2026-02-10 23:23:57,5015.24995611
2026-02-10 23:24:57,5017.39149579
2026-02-10 23:25:58,5016.94915611
2026-02-10 23:26:58,5022.64295344
2026-02-10 23:27:58,5018.36515611
2026-02-10 23:28:58,5018.2176561100005
2026-02-11 06:58:17,4980.63853222
2026-02-11 06:59:18,4981.58595522
2026-02-11 07:00:19,4980.9293627100005
2026-02-11 07:01:20,4981.16041718
2026-02-11 07:02:20,4981.55571718
2026-02-11 07:03:20,4982.13391718
2026-02-11 07:04:20,4982.28141718
2026-02-11 07:05:21,4982.365133050001
2026-02-11 07:06:21,4986.7307782
2026-02-11 07:07:21,4986.58841718
2026-02-11 07:08:21,4986.70051718
2026-02-11 07:09:21,4989.54248412
2026-02-12 19:01:16,4912.00542606
2026-02-12 19:02:17,4907.35542606
2026-02-12 19:03:17,4907.07942606
2026-02-12 19:04:18,4908.18942606
2026-02-12 19:05:18,4903.8874260600005
